fix,sp_p1,family_p1,origin_p1,bio_p1,bio_p1_0,target,family,origin_p2,biomass,root,comp,family_comp,competition,trans_date_c,comb
1260,Salvia pratensis,Lamiaceae,native,4.03,4.03,Solidago canadensis,Compositae,alien,0.695,NA,Solidago canadensis,Compositae,intra,0,C6
1260,Salvia pratensis,Lamiaceae,native,4.03,4.03,Solidago canadensis,Compositae,alien,0.843,NA,Solidago canadensis,Compositae,intra,0,C6
481,Cynosurus cristatus,Poaceae,native,2.518,2.518,Dactylis glomerata,Poaceae,native,2.126,0.796,alone,alone,alone,0,A1
370,Dactylis glomerata,Poaceae,native,5.406,5.406,Plantago media,Plantaginaceae,native,0.267,NA,Lolium multiflorum,Poaceae,inter,0,H15
370,Dactylis glomerata,Poaceae,native,5.406,5.406,Lolium multiflorum,Poaceae,alien,0.982,NA,Plantago media,Plantaginaceae,inter,0,H15
1166,Onobrychis viciifolia,Leguminosae,alien,1.342,1.342,Dactylis glomerata,Poaceae,native,2.567,1.327,alone,alone,alone,0,A1
283,empty,empty,empty,NA,0,Solidago canadensis,Compositae,alien,2.104,0.97,alone,alone,alone,0,A6
453,Dactylis glomerata,Poaceae,native,4.207,4.207,Leontodon autumnalis,Compositae,native,1.024,0.676,alone,alone,alone,0,A2
1557,Solidago gigantea,Compositae,alien,0.415,0.415,Plantago media,Plantaginaceae,native,0.575,NA,Senecio inaequidens,Compositae,inter,33,H25
1557,Solidago gigantea,Compositae,alien,0.415,0.415,Senecio inaequidens,Compositae,alien,2.054,NA,Plantago media,Plantaginaceae,inter,33,H25
961,Lotus corniculatus,Leguminosae,native,1.349,1.349,Dactylis glomerata,Poaceae,native,1.108,NA,Dactylis glomerata,Poaceae,intra,0,C1
961,Lotus corniculatus,Leguminosae,native,1.349,1.349,Dactylis glomerata,Poaceae,native,1.2,NA,Dactylis glomerata,Poaceae,intra,0,C1
1082,Onobrychis viciifolia,Leguminosae,alien,1.631,1.631,Plantago media,Plantaginaceae,native,0.156,NA,Senecio inaequidens,Compositae,inter,0,H25
1082,Onobrychis viciifolia,Leguminosae,alien,1.631,1.631,Senecio inaequidens,Compositae,alien,1.757,NA,Plantago media,Plantaginaceae,inter,0,H25
1159,Onobrychis viciifolia,Leguminosae,alien,2.004,2.004,Solidago canadensis,Compositae,alien,1.271,0.39,alone,alone,alone,0,A6
1235,Salvia pratensis,Lamiaceae,native,3.588,3.588,Plantago media,Plantaginaceae,native,0.126,NA,Senecio inaequidens,Compositae,inter,0,H25
1235,Salvia pratensis,Lamiaceae,native,3.588,3.588,Senecio inaequidens,Compositae,alien,1.322,NA,Plantago media,Plantaginaceae,inter,0,H25
48,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,0.762,0.098,alone,alone,alone,0,A4
771,Lolium multiflorum,Poaceae,alien,5.061,5.061,Leontodon autumnalis,Compositae,native,0.518,NA,Senecio inaequidens,Compositae,inter,0,H22
771,Lolium multiflorum,Poaceae,alien,5.061,5.061,Senecio inaequidens,Compositae,alien,0.998,NA,Leontodon autumnalis,Compositae,inter,0,H22
917,Lotus corniculatus,Leguminosae,native,3.025,3.025,Salvia pratensis,Lamiaceae,native,1.511,NA,Senecio inaequidens,Compositae,inter,0,H24
917,Lotus corniculatus,Leguminosae,native,3.025,3.025,Senecio inaequidens,Compositae,alien,0.776,NA,Salvia pratensis,Lamiaceae,inter,0,H24
889,Lolium multiflorum,Poaceae,alien,3.412,3.412,Lotus corniculatus,Leguminosae,native,0.16,NA,Solidago canadensis,Compositae,inter,0,H3
889,Lolium multiflorum,Poaceae,alien,3.412,3.412,Solidago canadensis,Compositae,alien,0.686,NA,Lotus corniculatus,Leguminosae,inter,0,H3
894,Lotus corniculatus,Leguminosae,native,2.875,2.875,Leontodon autumnalis,Compositae,native,0.559,NA,Onobrychis viciifolia,Leguminosae,inter,0,H7
894,Lotus corniculatus,Leguminosae,native,2.875,2.875,Onobrychis viciifolia,Leguminosae,alien,0.26,NA,Leontodon autumnalis,Compositae,inter,0,H7
976,Lotus corniculatus,Leguminosae,native,2.33,2.33,Dactylis glomerata,Poaceae,native,0.481,NA,Epilobium ciliatum,Onagraceae,inter,0,H16
976,Lotus corniculatus,Leguminosae,native,2.33,2.33,Epilobium ciliatum,Onagraceae,alien,0.521,NA,Dactylis glomerata,Poaceae,inter,0,H16
1680,Plantago media,Plantaginaceae,native,4.197,4.197,Dactylis glomerata,Poaceae,native,1.765,NA,Onobrychis viciifolia,Leguminosae,inter,2,H6
1680,Plantago media,Plantaginaceae,native,4.197,4.197,Onobrychis viciifolia,Leguminosae,alien,0.759,NA,Dactylis glomerata,Poaceae,inter,2,H6
9,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,3.933,NA,Onobrychis viciifolia,Leguminosae,inter,0,H6
9,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.086,NA,Dactylis glomerata,Poaceae,inter,0,H6
1491,Solidago gigantea,Compositae,alien,2.682,2.682,Lolium multiflorum,Poaceae,alien,0.478,NA,Lolium multiflorum,Poaceae,intra,20,C8
1491,Solidago gigantea,Compositae,alien,2.682,2.682,Lolium multiflorum,Poaceae,alien,1.58,NA,Lolium multiflorum,Poaceae,intra,20,C8
888,Lolium multiflorum,Poaceae,alien,4.566,4.566,Leontodon autumnalis,Compositae,native,0.114,NA,Epilobium ciliatum,Onagraceae,inter,0,H17
888,Lolium multiflorum,Poaceae,alien,4.566,4.566,Epilobium ciliatum,Onagraceae,alien,1.07,NA,Leontodon autumnalis,Compositae,inter,0,H17
147,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,2.698,2.23,alone,alone,alone,0,A1
213,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.208,NA,Lolium multiflorum,Poaceae,inter,0,H13
213,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,2.493,NA,Lotus corniculatus,Leguminosae,inter,0,H13
872,Lolium multiflorum,Poaceae,alien,4.028,4.028,Dactylis glomerata,Poaceae,native,2.253,1.51,alone,alone,alone,0,A1
970,Lotus corniculatus,Leguminosae,native,2.759,2.759,Dactylis glomerata,Poaceae,native,2.95,NA,Onobrychis viciifolia,Leguminosae,inter,0,H6
970,Lotus corniculatus,Leguminosae,native,2.759,2.759,Onobrychis viciifolia,Leguminosae,alien,0.137,NA,Dactylis glomerata,Poaceae,inter,0,H6
916,Lotus corniculatus,Leguminosae,native,2.126,2.126,Leontodon autumnalis,Compositae,native,0.163,NA,Lolium multiflorum,Poaceae,inter,0,H12
916,Lotus corniculatus,Leguminosae,native,2.126,2.126,Lolium multiflorum,Poaceae,alien,1.955,NA,Leontodon autumnalis,Compositae,inter,0,H12
1360,Salvia verticillata,Lamiaceae,alien,5.862,5.862,Lotus corniculatus,Leguminosae,native,0.52,NA,Onobrychis viciifolia,Leguminosae,inter,28,H8
1360,Salvia verticillata,Lamiaceae,alien,5.862,5.862,Onobrychis viciifolia,Leguminosae,alien,0.277,NA,Lotus corniculatus,Leguminosae,inter,28,H8
250,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,0.163,NA,Lolium multiflorum,Poaceae,inter,0,H15
250,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,3.882,NA,Plantago media,Plantaginaceae,inter,0,H15
319,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.447,0.16,alone,alone,alone,0,A7
185,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,2.404,NA,Senecio inaequidens,Compositae,inter,0,H21
185,empty,empty,empty,NA,0,Senecio inaequidens,Compositae,alien,0.774,NA,Dactylis glomerata,Poaceae,inter,0,H21
229,empty,empty,empty,NA,0,Dactylis glomerata,Poaceae,native,3.909,NA,Onobrychis viciifolia,Leguminosae,inter,0,H6
229,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.009,NA,Dactylis glomerata,Poaceae,inter,0,H6
1525,Solidago gigantea,Compositae,alien,2.001,2.001,Lolium multiflorum,Poaceae,alien,2.198,2.035,alone,alone,alone,33,A8
1684,Plantago media,Plantaginaceae,native,3.316,3.316,Plantago media,Plantaginaceae,native,0.607,NA,Onobrychis viciifolia,Leguminosae,inter,2,H10
1684,Plantago media,Plantaginaceae,native,3.316,3.316,Onobrychis viciifolia,Leguminosae,alien,0.043,NA,Plantago media,Plantaginaceae,inter,2,H10
630,Leontodon autumnalis,Compositae,native,3.245,3.245,Plantago media,Plantaginaceae,native,1.283,0.431,alone,alone,alone,0,A5
1015,Lotus corniculatus,Leguminosae,native,1.36,1.36,Salvia pratensis,Lamiaceae,native,1.587,0.602,alone,alone,alone,0,A4
545,Cynosurus cristatus,Poaceae,native,3.25,3.25,Dactylis glomerata,Poaceae,native,0.946,NA,Dactylis glomerata,Poaceae,intra,0,C1
545,Cynosurus cristatus,Poaceae,native,3.25,3.25,Dactylis glomerata,Poaceae,native,0.933,NA,Dactylis glomerata,Poaceae,intra,0,C1
741,Leontodon autumnalis,Compositae,native,5.019,5.019,Plantago media,Plantaginaceae,native,0.945,NA,Plantago media,Plantaginaceae,intra,0,C5
741,Leontodon autumnalis,Compositae,native,5.019,5.019,Plantago media,Plantaginaceae,native,0.619,NA,Plantago media,Plantaginaceae,intra,0,C5
60,empty,empty,empty,NA,0,Plantago media,Plantaginaceae,native,1.935,NA,Onobrychis viciifolia,Leguminosae,inter,0,H10
60,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.383,NA,Plantago media,Plantaginaceae,inter,0,H10
1619,Plantago media,Plantaginaceae,native,4.557,4.557,Leontodon autumnalis,Compositae,native,0.919,NA,Leontodon autumnalis,Compositae,intra,2,C2
1619,Plantago media,Plantaginaceae,native,4.557,4.557,Leontodon autumnalis,Compositae,native,0.329,NA,Leontodon autumnalis,Compositae,intra,2,C2
345,Dactylis glomerata,Poaceae,native,4.679,4.679,Leontodon autumnalis,Compositae,native,0.626,NA,Leontodon autumnalis,Compositae,intra,0,C2
345,Dactylis glomerata,Poaceae,native,4.679,4.679,Leontodon autumnalis,Compositae,native,0.609,NA,Leontodon autumnalis,Compositae,intra,0,C2
1148,Onobrychis viciifolia,Leguminosae,alien,0.224,0.224,Dactylis glomerata,Poaceae,native,1.507,NA,Senecio inaequidens,Compositae,inter,0,H21
1148,Onobrychis viciifolia,Leguminosae,alien,0.224,0.224,Senecio inaequidens,Compositae,alien,1.791,NA,Dactylis glomerata,Poaceae,inter,0,H21
1207,Salvia pratensis,Lamiaceae,native,3.549,3.549,Plantago media,Plantaginaceae,native,0.8,NA,Plantago media,Plantaginaceae,intra,0,C5
1207,Salvia pratensis,Lamiaceae,native,3.549,3.549,Plantago media,Plantaginaceae,native,0.758,NA,Plantago media,Plantaginaceae,intra,0,C5
95,empty,empty,empty,NA,0,Leontodon autumnalis,Compositae,native,1.637,1.586,alone,alone,alone,0,A2
1665,Plantago media,Plantaginaceae,native,3.933,3.933,Lolium multiflorum,Poaceae,alien,0.866,NA,Lolium multiflorum,Poaceae,intra,2,C8
1665,Plantago media,Plantaginaceae,native,3.933,3.933,Lolium multiflorum,Poaceae,alien,1.221,NA,Lolium multiflorum,Poaceae,intra,2,C8
971,Lotus corniculatus,Leguminosae,native,1.262,1.262,Salvia pratensis,Lamiaceae,native,0.712,NA,Salvia pratensis,Lamiaceae,intra,0,C4
971,Lotus corniculatus,Leguminosae,native,1.262,1.262,Salvia pratensis,Lamiaceae,native,0.169,NA,Salvia pratensis,Lamiaceae,intra,0,C4
689,Leontodon autumnalis,Compositae,native,4.951,4.951,Solidago canadensis,Compositae,alien,0.633,NA,Solidago canadensis,Compositae,intra,0,C6
689,Leontodon autumnalis,Compositae,native,4.951,4.951,Solidago canadensis,Compositae,alien,0.641,NA,Solidago canadensis,Compositae,intra,0,C6
1109,Onobrychis viciifolia,Leguminosae,alien,0.806,0.806,Epilobium ciliatum,Onagraceae,alien,2.282,0.52,alone,alone,alone,0,A9
978,Lotus corniculatus,Leguminosae,native,2.865,2.865,Lolium multiflorum,Poaceae,alien,0.316,NA,Lolium multiflorum,Poaceae,intra,0,C8
978,Lotus corniculatus,Leguminosae,native,2.865,2.865,Lolium multiflorum,Poaceae,alien,1.551,NA,Lolium multiflorum,Poaceae,intra,0,C8
125,empty,empty,empty,NA,0,Leontodon autumnalis,Compositae,native,1.355,NA,Onobrychis viciifolia,Leguminosae,inter,0,H7
125,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.569,NA,Leontodon autumnalis,Compositae,inter,0,H7
1050,Onobrychis viciifolia,Leguminosae,alien,0.494,0.494,Leontodon autumnalis,Compositae,native,0.581,NA,Leontodon autumnalis,Compositae,intra,0,C2
1050,Onobrychis viciifolia,Leguminosae,alien,0.494,0.494,Leontodon autumnalis,Compositae,native,1.142,NA,Leontodon autumnalis,Compositae,intra,0,C2
1011,Lotus corniculatus,Leguminosae,native,1.927,1.927,Solidago canadensis,Compositae,alien,1.103,NA,Solidago canadensis,Compositae,intra,0,C6
1011,Lotus corniculatus,Leguminosae,native,1.927,1.927,Solidago canadensis,Compositae,alien,1.567,NA,Solidago canadensis,Compositae,intra,0,C6
178,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.55,NA,Solidago canadensis,Compositae,inter,0,H3
178,empty,empty,empty,NA,0,Solidago canadensis,Compositae,alien,1.655,NA,Lotus corniculatus,Leguminosae,inter,0,H3
343,Dactylis glomerata,Poaceae,native,5.625,5.625,Plantago media,Plantaginaceae,native,0.364,NA,Lolium multiflorum,Poaceae,inter,0,H15
343,Dactylis glomerata,Poaceae,native,5.625,5.625,Lolium multiflorum,Poaceae,alien,1.38,NA,Plantago media,Plantaginaceae,inter,0,H15
1649,Plantago media,Plantaginaceae,native,3.48,3.48,Plantago media,Plantaginaceae,native,0.536,NA,Epilobium ciliatum,Onagraceae,inter,2,H20
1649,Plantago media,Plantaginaceae,native,3.48,3.48,Epilobium ciliatum,Onagraceae,alien,1.179,NA,Plantago media,Plantaginaceae,inter,2,H20
616,Leontodon autumnalis,Compositae,native,3.494,3.494,Lolium multiflorum,Poaceae,alien,1.762,NA,Lolium multiflorum,Poaceae,intra,0,C8
616,Leontodon autumnalis,Compositae,native,3.494,3.494,Lolium multiflorum,Poaceae,alien,0.73,NA,Lolium multiflorum,Poaceae,intra,0,C8
139,empty,empty,empty,NA,0,Leontodon autumnalis,Compositae,native,1.084,0.419,alone,alone,alone,0,A2
893,Lotus corniculatus,Leguminosae,native,1.761,1.761,Lotus corniculatus,Leguminosae,native,0.316,NA,Solidago canadensis,Compositae,inter,0,H3
893,Lotus corniculatus,Leguminosae,native,1.761,1.761,Solidago canadensis,Compositae,alien,1.941,NA,Lotus corniculatus,Leguminosae,inter,0,H3
964,Lotus corniculatus,Leguminosae,native,2.469,2.469,Salvia pratensis,Lamiaceae,native,0.369,NA,Salvia pratensis,Lamiaceae,intra,0,C4
964,Lotus corniculatus,Leguminosae,native,2.469,2.469,Salvia pratensis,Lamiaceae,native,1.314,NA,Salvia pratensis,Lamiaceae,intra,0,C4
786,Lolium multiflorum,Poaceae,alien,1.338,1.338,Plantago media,Plantaginaceae,native,1.197,NA,Solidago canadensis,Compositae,inter,0,H5
786,Lolium multiflorum,Poaceae,alien,1.338,1.338,Solidago canadensis,Compositae,alien,0.8,NA,Plantago media,Plantaginaceae,inter,0,H5
766,Lolium multiflorum,Poaceae,alien,2.382,2.382,Lolium multiflorum,Poaceae,alien,1.637,1.093,alone,alone,alone,0,A8
92,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,0.526,NA,Epilobium ciliatum,Onagraceae,inter,0,H19
92,empty,empty,empty,NA,0,Epilobium ciliatum,Onagraceae,alien,2.574,NA,Salvia pratensis,Lamiaceae,inter,0,H19
240,empty,empty,empty,NA,0,Lotus corniculatus,Leguminosae,native,0.758,NA,Onobrychis viciifolia,Leguminosae,inter,0,H8
240,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.462,NA,Lotus corniculatus,Leguminosae,inter,0,H8
1128,Onobrychis viciifolia,Leguminosae,alien,0.583,0.583,Leontodon autumnalis,Compositae,native,0.589,NA,Solidago canadensis,Compositae,inter,0,H2
1128,Onobrychis viciifolia,Leguminosae,alien,0.583,0.583,Solidago canadensis,Compositae,alien,1.037,NA,Leontodon autumnalis,Compositae,inter,0,H2
1034,Onobrychis viciifolia,Leguminosae,alien,1.204,1.204,Senecio inaequidens,Compositae,alien,2.132,0.904,alone,alone,alone,0,A10
994,Lotus corniculatus,Leguminosae,native,2.008,2.008,Dactylis glomerata,Poaceae,native,2.068,1.889,alone,alone,alone,0,A1
1160,Onobrychis viciifolia,Leguminosae,alien,1.24,1.24,Plantago media,Plantaginaceae,native,1.251,NA,Onobrychis viciifolia,Leguminosae,inter,0,H10
1160,Onobrychis viciifolia,Leguminosae,alien,1.24,1.24,Onobrychis viciifolia,Leguminosae,alien,0.273,NA,Plantago media,Plantaginaceae,inter,0,H10
586,Cynosurus cristatus,Poaceae,native,1.505,1.505,Salvia pratensis,Lamiaceae,native,0.564,NA,Salvia pratensis,Lamiaceae,intra,0,C4
586,Cynosurus cristatus,Poaceae,native,1.505,1.505,Salvia pratensis,Lamiaceae,native,0.49,NA,Salvia pratensis,Lamiaceae,intra,0,C4
708,Leontodon autumnalis,Compositae,native,3.715,3.715,Plantago media,Plantaginaceae,native,0.317,NA,Lolium multiflorum,Poaceae,inter,0,H15
708,Leontodon autumnalis,Compositae,native,3.715,3.715,Lolium multiflorum,Poaceae,alien,1.987,NA,Plantago media,Plantaginaceae,inter,0,H15
394,Dactylis glomerata,Poaceae,native,5.183,5.183,Leontodon autumnalis,Compositae,native,0.393,NA,Leontodon autumnalis,Compositae,intra,0,C2
394,Dactylis glomerata,Poaceae,native,5.183,5.183,Leontodon autumnalis,Compositae,native,0.309,NA,Leontodon autumnalis,Compositae,intra,0,C2
836,Lolium multiflorum,Poaceae,alien,4.07,4.07,Salvia pratensis,Lamiaceae,native,0.327,NA,Onobrychis viciifolia,Leguminosae,inter,0,H9
836,Lolium multiflorum,Poaceae,alien,4.07,4.07,Onobrychis viciifolia,Leguminosae,alien,0.649,NA,Salvia pratensis,Lamiaceae,inter,0,H9
1108,Onobrychis viciifolia,Leguminosae,alien,1.478,1.478,Epilobium ciliatum,Onagraceae,alien,1.565,0.343,alone,alone,alone,0,A9
218,empty,empty,empty,NA,0,Salvia pratensis,Lamiaceae,native,2.266,NA,Onobrychis viciifolia,Leguminosae,inter,0,H9
218,empty,empty,empty,NA,0,Onobrychis viciifolia,Leguminosae,alien,0.258,NA,Salvia pratensis,Lamiaceae,inter,0,H9
1020,Lotus corniculatus,Leguminosae,native,2.791,2.791,Plantago media,Plantaginaceae,native,0.767,NA,Plantago media,Plantaginaceae,intra,0,C5
1020,Lotus corniculatus,Leguminosae,native,2.791,2.791,Plantago media,Plantaginaceae,native,1.005,NA,Plantago media,Plantaginaceae,intra,0,C5
253,empty,empty,empty,NA,0,Solidago canadensis,Compositae,alien,1.127,NA,Solidago canadensis,Compositae,intra,0,C6
253,empty,empty,empty,NA,0,Solidago canadensis,Compositae,alien,0.683,NA,Solidago canadensis,Compositae,intra,0,C6
1093,Onobrychis viciifolia,Leguminosae,alien,1.118,1.118,Salvia pratensis,Lamiaceae,native,1.24,NA,Epilobium ciliatum,Onagraceae,inter,0,H19
1093,Onobrychis viciifolia,Leguminosae,alien,1.118,1.118,Epilobium ciliatum,Onagraceae,alien,1.786,NA,Salvia pratensis,Lamiaceae,inter,0,H19
