"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"nonster","Lotus_corniculatus","1030","FDMP19H001152-1a_L1_SV1030","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Onobrychis_viciifolia","1048","FDMP19H001152-1a_L1_SV1048","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","non-conditioned","105","FDMP19H001152-1a_L1_SV105","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","Onobrychis_viciifolia","1091","FDMP19H001152-1a_L1_SV1091","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1103","FDMP19H001152-1a_L1_SV1103","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1111","FDMP19H001152-1a_L1_SV1111","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","non-conditioned","132","FDMP19H001152-1a_L1_SV132","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","195","FDMP19H001152-1a_L1_SV195","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","225","FDMP19H001152-1a_L1_SV225","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","313","FDMP19H001152-1a_L1_SV313","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","non-conditioned","322","FDMP19H001152-1a_L1_SV322","non-conditioned","non-conditioned",-0.666666666666667,0,0
"nonster","Dactylis_glomerata","350","FDMP19H001152-1a_L1_SV350","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","386","FDMP19H001152-1a_L1_SV386","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","387","FDMP19H001152-1a_L1_SV387","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","426","FDMP19H001152-1a_L1_SV426","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","428","FDMP19H001152-1a_L1_SV428","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Dactylis_glomerata","443","FDMP19H001152-1a_L1_SV443","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","478","FDMP19H001152-1a_L1_SV478","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","489","FDMP19H001152-1a_L1_SV489","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","525","FDMP19H001152-1a_L1_SV525","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","592","FDMP19H001152-1a_L1_SV592","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Cynosurus_cristatus","593","FDMP19H001152-1a_L1_SV593","native","Poaceae",0.333333333333333,-0.5,0
