"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"nonster","Salvia_verticillata","1352","FDMP19H001239-1a_L1_ITS1352","alien","Lamiaceae",0.333333333333333,0.5,15
"nonster","Salvia_verticillata","1357","FDMP19H001239-1a_L1_ITS1357","alien","Lamiaceae",0.333333333333333,0.5,15
"nonster","Salvia_verticillata","1380","FDMP19H001239-1a_L1_ITS1380","alien","Lamiaceae",0.333333333333333,0.5,28
"nonster","Salvia_verticillata","1384","FDMP19H001239-1a_L1_ITS1384","alien","Lamiaceae",0.333333333333333,0.5,28
"nonster","Salvia_verticillata","1398","FDMP19H001239-1a_L1_ITS1398","alien","Lamiaceae",0.333333333333333,0.5,28
"nonster","Solidago_gigantea","1456","FDMP19H001239-1a_L1_ITS1456","alien","Compositae",0.333333333333333,0.5,20
"nonster","Solidago_gigantea","1458","FDMP19H001239-1a_L1_ITS1458","alien","Compositae",0.333333333333333,0.5,20
"nonster","Solidago_gigantea","1480","FDMP19H001239-1a_L1_ITS1480","alien","Compositae",0.333333333333333,0.5,20
"nonster","Solidago_gigantea","1496","FDMP19H001239-1a_L1_ITS1496","alien","Compositae",0.333333333333333,0.5,33
"nonster","Solidago_gigantea","1498","FDMP19H001239-1a_L1_ITS1498","alien","Compositae",0.333333333333333,0.5,33
"nonster","Solidago_gigantea","1525","FDMP19H001239-1a_L1_ITS1525","alien","Compositae",0.333333333333333,0.5,33
"nonster","Plantago_media","1626","FDMP19H001239-1a_L1_ITS1626","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1636","FDMP19H001239-1a_L1_ITS1636","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1693","FDMP19H001239-1a_L1_ITS1693","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1709","FDMP19H001239-1a_L1_ITS1709","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Plantago_media","1721","FDMP19H001239-1a_L1_ITS1721","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","non-conditioned","1731","FDMP19H001239-1a_L1_ITS1731","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1733","FDMP19H001239-1a_L1_ITS1733","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1736","FDMP19H001239-1a_L1_ITS1736","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1737","FDMP19H001239-1a_L1_ITS1737","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1738","FDMP19H001239-1a_L1_ITS1738","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","non-conditioned","1739","FDMP19H001239-1a_L1_ITS1739","non-conditioned","non-conditioned",-0.666666666666667,0,0
"ster","Dactylis_glomerata","1741","FDMP19H001239-1a_L1_ITS1741","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1742","FDMP19H001239-1a_L1_ITS1742","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1743","FDMP19H001239-1a_L1_ITS1743","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1744","FDMP19H001239-1a_L1_ITS1744","native","Poaceae",0.333333333333333,-0.5,0
"ster","Dactylis_glomerata","1745","FDMP19H001239-1a_L1_ITS1745","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1746","FDMP19H001239-1a_L1_ITS1746","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1747","FDMP19H001239-1a_L1_ITS1747","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1748","FDMP19H001239-1a_L1_ITS1748","native","Poaceae",0.333333333333333,-0.5,0
"ster","Cynosurus_cristatus","1750","FDMP19H001239-1a_L1_ITS1750","native","Poaceae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1751","FDMP19H001239-1a_L1_ITS1751","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1752","FDMP19H001239-1a_L1_ITS1752","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1753","FDMP19H001239-1a_L1_ITS1753","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1754","FDMP19H001239-1a_L1_ITS1754","native","Compositae",0.333333333333333,-0.5,0
"ster","Leontodon_autumnalis","1755","FDMP19H001239-1a_L1_ITS1755","native","Compositae",0.333333333333333,-0.5,0
"ster","Lolium_multiflorum","1756","FDMP19H001239-1a_L1_ITS1756","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1757","FDMP19H001239-1a_L1_ITS1757","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1758","FDMP19H001239-1a_L1_ITS1758","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1759","FDMP19H001240-1a_L1_ITS1759","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lolium_multiflorum","1760","FDMP19H001240-1a_L1_ITS1760","alien","Poaceae",0.333333333333333,0.5,0
"ster","Lotus_corniculatus","1761","FDMP19H001240-1a_L1_ITS1761","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1762","FDMP19H001240-1a_L1_ITS1762","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1763","FDMP19H001240-1a_L1_ITS1763","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1764","FDMP19H001240-1a_L1_ITS1764","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1765","FDMP19H001240-1a_L1_ITS1765","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Onobrychis_viciifolia","1766","FDMP19H001240-1a_L1_ITS1766","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1768","FDMP19H001240-1a_L1_ITS1768","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1769","FDMP19H001240-1a_L1_ITS1769","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Salvia_pratensis","1771","FDMP19H001240-1a_L1_ITS1771","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1772","FDMP19H001240-1a_L1_ITS1772","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1773","FDMP19H001240-1a_L1_ITS1773","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1774","FDMP19H001240-1a_L1_ITS1774","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_verticillata","1776","FDMP19H001240-1a_L1_ITS1776","alien","Lamiaceae",0.333333333333333,0.5,15
"ster","Salvia_verticillata","1777","FDMP19H001240-1a_L1_ITS1777","alien","Lamiaceae",0.333333333333333,0.5,15
"ster","Solidago_gigantea","1782","FDMP19H001240-1a_L1_ITS1782","alien","Compositae",0.333333333333333,0.5,20
"ster","Solidago_gigantea","1784","FDMP19H001240-1a_L1_ITS1784","alien","Compositae",0.333333333333333,0.5,20
"ster","Solidago_gigantea","1785","FDMP19H001240-1a_L1_ITS1785","alien","Compositae",0.333333333333333,0.5,20
"ster","Plantago_media","1786","FDMP19H001240-1a_L1_ITS1786","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1787","FDMP19H001240-1a_L1_ITS1787","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1788","FDMP19H001240-1a_L1_ITS1788","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1789","FDMP19H001240-1a_L1_ITS1789","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1790","FDMP19H001240-1a_L1_ITS1790","native","Plantaginaceae",0.333333333333333,-0.5,2
"nonster","Lotus_corniculatus","1030","FDMP19H001243-1a_L1_ITS1030","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Onobrychis_viciifolia","1048","FDMP19H001243-1a_L1_ITS1048","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1091","FDMP19H001243-1a_L1_ITS1091","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1103","FDMP19H001243-1a_L1_ITS1103","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1111","FDMP19H001243-1a_L1_ITS1111","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1137","FDMP19H001243-1a_L1_ITS1137","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Onobrychis_viciifolia","1147","FDMP19H001243-1a_L1_ITS1147","alien","Leguminosae",0.333333333333333,0.5,0
"nonster","Salvia_pratensis","1194","FDMP19H001243-1a_L1_ITS1194","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1225","FDMP19H001243-1a_L1_ITS1225","native","Lamiaceae",0.333333333333333,-0.5,0
"nonster","Salvia_pratensis","1248","FDMP19H001243-1a_L1_ITS1248","native","Lamiaceae",0.333333333333333,-0.5,0
