"","X2","P"
"intra_inter","0.004","0.950"
"abun_path","0.173","0.677"
"origin_p2","0.683","0.409"
"abun_path:origin_p2","0.427","0.514"
"Random effects","SD",""
"family_p1","0.026",""
"sp_p1","0.077",""
"family","0.000",""
"sp_p2","0.226",""
"family_comp","0.137",""
"sp_p2_comp","0.000",""
"Residual","0.632",""
"intra_inter1","0.003","0.955"
"div_path_sr","0.410","0.522"
"origin_p21","0.686","0.408"
"div_path_sr:origin_p2","1.800","0.180"
"Random effects1","SD",""
"family_p11","0.026",""
"sp_p11","0.077",""
"family1","0.000",""
"sp_p21","0.226",""
"family_comp1","0.137",""
"sp_p2_comp1","0.000",""
"Residual1","0.632",""
"intra_inter2","0.005","0.941"
"div_path_shan","0.397","0.529"
"origin_p22","0.681","0.409"
"div_path_shan:origin_p2","7.108","0.008*"
"Random effects2","SD",""
"family_p12","0.026",""
"sp_p12","0.077",""
"family2","0.000",""
"sp_p22","0.226",""
"family_comp2","0.137",""
"sp_p2_comp2","0.000",""
"Residual2","0.632",""
