"","X2","P"
"intra_inter","0.004","0.950"
"div_16s_sr","0.006","0.940"
"origin_p2","0.681","0.409"
"div_16s_sr:origin_p2","0.776","0.378"
"Random effects","SD",""
"family_p1","0.031",""
"sp_p1","0.075",""
"family","0.000",""
"sp_p2","0.228",""
"family_comp","0.138",""
"sp_p2_comp","0.000",""
"Residual","0.648",""
"intra_inter1","0.004","0.952"
"div_16s_shan","0.091","0.763"
"origin_p21","0.682","0.409"
"div_16s_shan:origin_p2","4.500","0.034*"
"Random effects1","SD",""
"family_p11","0.025",""
"sp_p11","0.074",""
"family1","0.000",""
"sp_p21","0.227",""
"family_comp1","0.137",""
"sp_p2_comp1","0.000",""
"Residual1","0.658",""
"intra_inter2","0.002","0.962"
"div_its_sr","1.301","0.254"
"origin_p22","0.691","0.406"
"div_its_sr:origin_p2","1.406","0.236"
"Random effects2","SD",""
"family_p12","0.056",""
"sp_p12","0.059",""
"family2","0.000",""
"sp_p22","0.225",""
"family_comp2","0.137",""
"sp_p2_comp2","0.000",""
"Residual2","0.631",""
"intra_inter3","0.004","0.949"
"div_its_shan","0.009","0.926"
"origin_p23","0.681","0.409"
"div_its_shan:origin_p2","0.958","0.328"
"Random effects3","SD",""
"family_p13","0.026",""
"sp_p13","0.077",""
"family3","0.000",""
"sp_p23","0.226",""
"family_comp3","0.137",""
"sp_p2_comp3","0.000",""
"Residual3","0.632",""
