"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"T1_empty",1,0.31970431992658,0.31970431992658,1.38712710548577,0.0213256053570498,0.139
"T2_alien_native",1,0.459913067329916,0.459913067329916,1.99546218833369,0.0306781108703206,0.013
"family",4,1.13205571706895,0.283013929267237,1.22793552682295,0.0755128159355136,0.09
"species",4,1.35968022382378,0.339920055955945,1.47483876171274,0.0906963154946107,0.01
"trans_date_c",1,0.196243854291085,0.196243854291085,0.851459153366081,0.0130902797663765,0.654
"Residuals",50,11.5239734939294,0.230479469878588,NA,0.768696872576129,NA
"Total",61,14.9915706763697,NA,NA,1,NA
"T1_empty1",1,0.657248977756851,0.657248977756851,2.37875098706411,0.04708132609338,0.025
"T2_alien_native1",1,0.137231222298399,0.137231222298399,0.496674649251561,0.00983041152726495,0.899
"family1",4,1.78015758412093,0.445039396030233,1.61071061107222,0.127519680596,0.034
"species1",4,1.43842646070273,0.359606615175682,1.30150767784137,0.10304013783152,0.132
"Residuals1",36,9.94680121118915,0.276300033644143,NA,0.712528443951835,NA
"Total1",46,13.9598654560681,NA,NA,1,NA
